from,to,unit,layer,count
>,m,punctuation,git,11
t,o,consonant,git,11
\,~,punctuation,git,11
U,̄,diacritic,git,11
i,<,vowel,git,11
},/,punctuation,git,11
0,2,digit,git,11
/,>,punctuation,git,11
K,v,consonant,git,11
Т,Ͳ,latin,git,11
Б,Ъ,latin,git,11
x,n,consonant,git,11
4,9,digit,git,11
f,>,consonant,git,11
/,i,punctuation,git,11
g,°,consonant,git,11
m,्,diacritic,git,11
d,v,consonant,form,10
v,p,consonant,form,10
t,m,consonant,form,10
w,a,consonant,form,10
u,o,vowel,form,10
 ,c,whitespace,form,10
h,s,consonant,form,10
r,g,consonant,form,10
a,w,vowel,form,10
b,x,consonant,form,10
m,r,consonant,form,10
e,r,vowel,form,10
$,¯,punctuation,form,10
y,t,consonant,form,10
i,̣,diacritic,form,10
f,d,consonant,form,10
r,d,consonant,form,10
e,l,vowel,form,10
l,n,consonant,form,10
.,t,punctuation,form,10
m,̣,diacritic,form,10
y,r,consonant,form,10
t,p,consonant,form,10
̣,w,diacritic,form,10
f,u,consonant,form,10
̄,u,diacritic,form,10
l,r,consonant,form,10
̣,l,diacritic,form,10
g,n,consonant,form,10
h,a,consonant,form,10
f,n,consonant,form,10
t,k,consonant,form,10
m,p,consonant,form,10
d, ,consonant,form,10
 ,i,whitespace,form,10
 ,h,whitespace,form,10
̄,c,diacritic,form,10
4,r,digit,form,10
2,h,digit,form,10
2,c,digit,form,10
.,a,punctuation,form,10
1,7,digit,form,10
̄,‹,diacritic,form,10
s,.,consonant,form,10
t,v,consonant,git,10
o,p,vowel,git,10
1,l,digit,git,10
g,B,consonant,git,10
b,B,case,git,10
i,o,vowel,git,10
n,l,consonant,git,10
u,o,vowel,git,10
h,l,consonant,git,10
-,>,punctuation,git,10
v,V,case,git,10
/,.,punctuation,git,10
t,c,consonant,git,10
 ,o,whitespace,git,10
g,y,consonant,git,10
?,t,punctuation,git,10
y,a,consonant,git,10
s,h,consonant,git,10
{,<,punctuation,git,10
l,L,case,git,10
2,\,digit,git,10
.,a,punctuation,git,10
",",;,punctuation,git,10
",",5,punctuation,git,10
>,n,punctuation,git,10
Y,̇,diacritic,git,10
8,1,digit,git,10
o,/,vowel,git,10
.,s,punctuation,git,10
o,A,vowel,git,10
/,h,punctuation,git,10
a,6,vowel,git,10
S,̣,diacritic,git,10
m,A,consonant,git,10
d,D,case,git,10
M,I,consonant,git,10
7,2,digit,git,10
9,4,digit,git,10
5,2,digit,git,10
s,<,consonant,git,10
>,o,punctuation,git,10
;,"""",punctuation,git,10
g,u,consonant,git,10
d, ,consonant,git,10
4,8,digit,git,10
2,l,digit,git,10
n,y,consonant,git,10
"""",>,punctuation,git,10
h,m,consonant,form,9
s,i,consonant,form,9
2,3,digit,form,9
.,},punctuation,form,9
p,n,consonant,form,9
r,l,consonant,form,9
n,i,consonant,form,9
e,s,vowel,form,9
s,o,consonant,form,9
h, ,consonant,form,9
E,a,vowel,form,9
B,̃,diacritic,form,9
v,t,consonant,form,9
c,̣,diacritic,form,9
n,o,consonant,form,9
̣,t,diacritic,form,9
r,o,consonant,form,9
2, ,digit,form,9
5,r,digit,form,9
V,p,consonant,form,9
7,r,digit,form,9
P,a,consonant,form,9
",",e,punctuation,form,9
›,),punctuation,form,9
4,E,digit,form,9
̣,u,diacritic,form,9
̃,̣,diacritic,form,9
E,̣,diacritic,form,9
.,‹,punctuation,form,9
a,l,vowel,form,9
v,r,consonant,git,9
a,r,vowel,git,9
S,z,consonant,git,9
n,M,consonant,git,9
k,h,consonant,git,9
s,c,consonant,git,9
c,d,consonant,git,9
f,i,consonant,git,9
l,h,consonant,git,9
f,l,consonant,git,9
E,i,vowel,git,9
/,^,punctuation,git,9
?,v,punctuation,git,9
 ,3,whitespace,git,9
k,g,consonant,git,9
l,y,consonant,git,9
0,9,digit,git,9
R,B,consonant,git,9
v,l,consonant,git,9
 ,l,whitespace,git,9
/,A,punctuation,git,9
h,z,consonant,git,9
9,2,digit,git,9
(, ,punctuation,git,9
g,m,consonant,git,9
T,D,consonant,git,9
s,L,consonant,git,9
<,t,punctuation,git,9
/,1,punctuation,git,9
>,μ,punctuation,git,9
¦,",",punctuation,git,9
n, ,consonant,git,9
i,b,vowel,git,9
1, ,digit,git,9
1,I,digit,git,9
c,C,case,git,9
4,6,digit,git,9
A,L,vowel,git,9
2,7,digit,git,9
-,=,punctuation,git,9
>,l,punctuation,git,9
d,&,consonant,git,9
/,n,punctuation,git,9
1,/,digit,git,9
5,3,digit,git,9
e,{,vowel,git,9
